Taxa,Drought,Kiboko,Kmega
CKDHL140008,3.11,5.1,3.92
CKDHL140009,2.57,7.68,6.92
CKDHL140010,2.35,5.9,6.97
CKDHL140011,1.98,5.69,5.51
CKDHL140012,2.23,7.43,6.63
CKDHL140013,2.91,6.04,3.47
CKDHL140014,3.07,5.6,7.32
CKDHL140015,2.31,6.93,6.84
CKDHL140016,2.78,5.15,7.91
CKDHL140017,1.55,5.5,6.65
CKDHL140018,1.8,5.83,6.23
CKDHL140019,2.07,7.4,8.75
CKDHL140020,2.6,6.88,7.79
CKDHL140021,1.61,6.23,6.87
CKDHL140022,2.15,6.32,9.06
CKDHL140023,2.69,7.16,8.68
CKDHL140024,2.34,5.65,5.85
CKDHL140026,3.45,5.73,6.76
CKDHL140027,1.88,7.73,7.58
CKDHL140028,1.44,6.84,6.13
CKDHL140029,1.95,5.77,6.81
CKDHL140030,2.36,6.7,5.91
CKDHL140031,3.17,6.27,9.14
CKDHL140033,2.78,6.13,8.52
CKDHL140034,2.04,6.14,7.93
CKDHL140035,3.31,6.47,6.95
CKDHL140037,2.08,5.95,5.6
CKDHL140038,2.56,5.52,8.33
CKDHL140039,2.52,5.65,6.07
CKDHL140040,2.34,6.65,6.7
CKDHL140042,3.44,5.81,5.61
CKDHL140043,3.5,5.7,9.82
CKDHL140044,1.85,5.89,7.56
CKDHL140045,3.44,6.13,4.14
CKDHL140046,1.76,6.29,8.19
CKDHL140047,1.95,5.3,9.27
CKDHL140048,2.64,6.84,8.17
CKDHL140049,3.61,6.42,5.9
CKDHL140050,2.55,6.52,6.47
CKDHL140052,2.74,6.36,6.98
CKDHL140053,2.48,6.43,8.21
CKDHL140054,2.6,5.33,5.61
CKDHL140055,2.09,6.74,8.98
CKDHL140056,1.95,5.12,8.28
CKDHL140057,1.96,6.57,6.93
CKDHL140058,2.02,6.69,9.85
CKDHL140059,2.56,5.97,7.92
CKDHL140060,1.73,6.54,9.18
CKDHL140061,3.24,6.23,7.68
CKDHL140062,2.02,5.28,7.87
CKDHL140063,2.2,7.08,8.22
CKDHL140064,2.35,7.06,7.27
CKDHL140065,2.42,6.08,8.01
CKDHL140066,1.95,5.95,6.57
CKDHL140067,2.64,6.94,5.68
CKDHL140068,2.49,6.23,4.82
CKDHL140069,2.16,6.58,9.01
CKDHL140070,2.91,6.02,8.52
CKDHL140071,2.14,6.36,6.64
CKDHL140072,2.25,7.26,6.39
CKDHL140073,3.1,6.29,6.66
CKDHL140074,2.59,5.98,6.66
CKDHL140075,2.95,6.21,7.94
CKDHL140076,2.66,6.07,6.52
CKDHL140077,2.83,5.53,4.7
CKDHL140078,1.85,6.69,4.97
CKDHL140079,2.79,5.84,7.97
CKDHL140080,2.36,6.63,6.83
CKDHL140081,2.14,4.03,6.43
CKDHL140082,2.34,6.28,6.63
CKDHL140083,2.64,5.54,6.27
CKDHL140084,2.43,5.42,8.5
CKDHL140085,2,5.88,7.57
CKDHL140086,1.78,6.67,6.69
CKDHL140087,2.63,5.28,6.66
CKDHL140088,3.22,6.33,6.78
CKDHL140089,2.2,5.92,7.47
CKDHL140090,2.42,5.78,8.07
CKDHL140091,2.72,6.26,5.87
CKDHL140092,1.38,4.45,9.99
CKDHL140093,2,6.13,6.11
CKDHL140094,2.92,5.99,7.88
CKDHL140095,2.9,6.55,10.89
CKDHL140096,3.97,6.27,7.28
CKDHL140098,2.11,4.39,8.61
CKDHL140099,2.16,6.65,9.76
CKDHL140100,2.07,5.6,8.95
CKDHL140101,2.59,6.97,8.72
CKDHL140102,1.34,5.35,6.37
CKDHL140103,2.86,6.94,7
CKDHL140104,3.18,4.81,6.21
CKDHL140105,1.81,5.49,6.8
CKDHL140106,1.72,5.64,8.3
